Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,142.96,147.525,147.521,147.896,155.669,156.77,154.932,156.444,154.262,154.416,152.572,150.863,148.141,143.37,138.827,133.071,126.106,125.858,128.171,120.635,120.82,116.454,111.286,106.537,101.454,97.415,94.018,90.342,88.431,86.803,84.296,82.565
Angola,198.803,197.301,196.4,195.398,195.291,193.237,192.841,187.51,182.742,178.605,177.316,176.253,175.341,171.817,170.795,170.951,169.366,168.678,168.701,169.586,164.955,159.295,156.557,153.345,151.093,148.074,146.135,145.235,142.575,141.278,139.825,138.402
Albania,14.815,14.784,16.155,17.855,20.157,21.869,21.756,20.149,18.001,16.098,14.792,9.697,13.217,15.231,19.046,18.869,17.503,17.309,18.545,18.987,19.65,20.692,20.909,20.865,20.942,20.276,18.171,16.585,15.58,15.013,14.672,14.517
Andorra,10.656,10.878,10.919,9.558,8.761,8.242,8.296,8.717,8.767,10.1,9.281,10.072,10.397,9.066,10.092,10.487,10.597,9.87,11.12,10.246,10.558,9.574,8.414,6.989,6.925,7.402,7.176,6.404,6.08,5.985,6.091,5.887
United Arab Emirates,48.493,41.065,39.971,38.536,41.638,35.147,34.231,29.477,26.185,24.881,25.818,25.759,25.389,25.997,25.047,22.179,19.436,17.771,16.389,15.087,13.72,12.33,11.149,9.876,8.819,7.785,7.035,5.593,4.275,3.825,3.077,3.085
Argentina,70.928,71.979,72.151,72.502,73.516,72.81,71.39,70.424,69.307,68.268,66.54,64.0,63.078,60.281,62.62,64.877,64.07,66.424,66.149,66.695,67.064,68.264,68.719,69.167,67.791,65.395,61.852,57.783,51.029,46.153,39.866,39.065
Armenia,73.201,78.736,86.553,85.981,82.148,69.251,62.587,54.18,48.124,41.327,36.644,32.841,32.756,31.669,31.569,29.062,24.607,24.544,25.22,28.266,29.07,28.694,29.083,25.412,27.222,24.66,24.621,21.379,19.533,19.041,18.571,18.511
Antigua and Barbuda,82.867,70.292,68.627,63.497,65.405,69.521,70.121,64.099,58.318,57.002,63.429,61.027,56.92,53.757,51.554,49.532,48.18,48.723,54.779,51.622,42.477,40.163,36.808,33.761,33.422,34.834,30.373,30.352,27.548,30.83,32.959,33.11
Australia,21.673,21.491,21.593,20.629,20.312,19.797,19.469,18.99,18.257,17.959,17.357,17.238,16.826,15.998,15.913,15.998,15.815,16.67,17.776,17.408,16.622,15.981,15.709,15.059,13.249,12.322,10.968,10.43,9.983,8.938,8.081,8.096
Austria,22.827,24.035,24.239,22.968,19.933,17.743,15.97,14.465,13.868,13.395,14.06,13.989,14.086,13.662,13.758,13.004,12.213,11.46,11.382,10.712,10.434,9.606,9.054,8.462,7.947,7.913,7.637,6.991,5.855,5.499,5.363,5.521
Azerbaijan,31.329,33.846,38.36,41.995,45.778,44.668,44.595,45.272,41.578,38.819,33.89,31.668,31.475,32.476,33.684,38.001,38.658,43.484,46.548,49.041,54.472,57.285,59.739,61.472,64.142,63.093,58.812,47.11,45.088,49.404,41.797,40.079
Burundi,74.13,76.396,77.095,77.785,75.554,76.888,75.781,73.976,75.241,78.845,81.409,80.58,82.256,83.894,83.545,80.494,77.066,74.299,71.732,74.853,75.944,73.442,70.097,65.349,62.042,60.503,58.393,56.593,56.272,54.856,54.36,53.621
Belgium,11.956,12.393,12.167,11.285,10.441,10.083,10.297,10.27,10.406,10.986,11.915,12.133,11.282,10.957,10.907,10.783,10.689,10.708,10.672,10.675,10.265,9.937,9.088,7.825,7.448,6.862,6.489,6.075,5.717,5.304,5.239,5.33
Benin,125.025,124.259,122.479,127.359,124.946,121.609,120.739,117.66,120.879,120.303,117.261,117.756,115.452,115.528,114.768,109.721,105.206,104.604,101.052,98.103,95.85,93.653,93.041,93.969,95.483,95.516,96.016,95.546,95.481,93.897,92.935,92.259
Burkina Faso,144.36,143.6,141.701,139.102,140.104,140.172,140.66,137.319,137.187,136.61,135.684,130.965,127.504,130.013,128.557,128.128,129.284,129.055,129.054,128.047,129.541,130.065,130.329,130.291,127.006,122.57,118.473,116.273,115.166,113.416,112.228,110.509
Bangladesh,175.741,166.996,167.401,164.391,162.84,158.828,151.819,151.788,149.733,146.969,147.994,142.584,138.077,136.63,134.765,121.664,119.067,123.323,115.765,112.422,112.165,100.959,100.956,99.307,88.557,83.664,83.359,78.29,78.359,77.678,76.411,75.496
Bulgaria,69.923,67.745,66.961,64.513,58.724,52.13,49.664,44.35,44.313,47.052,45.249,42.271,40.829,39.75,40.931,39.903,41.696,43.433,45.629,48.187,43.958,42.701,43.328,42.783,41.998,39.2,37.916,38.398,39.209,39.245,39.218,38.605
