Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,10.0,-280000.0,360000.0,-20000.0,20000.0,-93326.6,690000.0,-1460000.0,-10000.0,6040000.0,170000.0,680000.0,50000000.0,57799999.9,186900000.0,271000000.0,238000000.0,188690000.0,46033740.0,56107246.5,190774431.98,52173421.0,56823660.0,48311346.0,42975262.5,169146608.0,93591315.3,51533896.765,119435105.715177,23404553.647249,12970147.9832,20600976.1
Angola,-334800000.0,664500000.0,287956000.0,302100000.0,170300000.0,472427000.0,180559000.0,411660000.0,1113970000.0,2471460000.0,878620000.0,2145470000.0,1743504000.0,3576971780.0,2197227820.0,-1303836930.0,-37714860.0,-893342152.0,1678971010.0,2205298180.0,-3227211182.45,-3023770965.83688,-1464627990.88284,-7120017424.4614,3657514667.49327,10028215162.6394,-179517618.92,-7397295409.18991,-6456076413.12033,-4098478747.63755,-1866468113.07454,-4355116552.71589
Albania,,,20000000.0,58000000.0,53000000.0,70000000.0,90100000.0,47500000.0,45010000.0,41200000.0,143000000.0,207300000.0,135000000.0,178036400.666667,341285112.537562,262479012.637464,325138316.803697,652275603.722803,1247181714.30558,1345415233.65619,1089898207.57431,1048706682.05458,917994575.801857,1254150555.51294,1149927985.77736,989578334.828615,1044389554.85795,1022757857.07377,1204383363.60476,1201022154.46643,1069744879.65453,1218586452.37158
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,-115819999.9,25940000.0,129720000.0,401319999.9,62460000.0,399850000.0,300519999.9,232430000.0,257660000.0,-985340000.0,-506329999.9,1183839999.9,95299999.9,4255956432.9,10003500000.0,10899931926.4,12805990469.7,14186521443.1,5062972004.8,1134288135.2,8796769640.5,7152095825.6,9566651351.0,9764914527.3,11071537020.0,8550901846.5,9604772999.9,10354223000.0,10385286000.0,17874659400.5,19884468664.9,20667120490.1
Argentina,1836000000.0,2439000000.0,4430977523.08014,2793085410.09827,3634931878.26435,5609423403.56467,6948536686.64725,9160272052.4446,7290657132.08156,23987696389.6428,10418314339.1428,2166136829.76399,2148910000.0,1652010000.0,4124710000.0,5265250000.0,5537347786.19331,6473157762.12915,9725553129.52469,4017158924.88408,11332718626.4345,10839930944.6815,15323933916.8241,9821661858.15874,5065335541.96486,11758994011.286,3260164341.77393,11516861462.2845,11716769818.7543,6649187837.98606,4884127675.95708,6902840207.74343
Armenia,,,2399999.9,800000.0,8000000.0,25320000.0,17570000.0,51940000.0,232375000.0,122034000.0,104188500.0,69868500.0,110725325.614409,122852992.703235,247140608.495888,292073220.164722,466531991.901724,667671562.134495,943733059.483284,760040745.87233,529321391.641959,653219756.47225,496636701.129687,346092394.393256,406578406.693112,184127986.314895,333823945.510433,252747990.684352,266855048.832037,100287214.397978,58582750.1214803,366445214.820501
Antigua and Barbuda,60607407.4074074,54792592.5925926,19648148.1481481,15240740.7407407,24788888.8888889,31485185.1851852,19351851.8518519,22944444.4444444,22774074.0740741,51792533.3333333,96504370.1625511,145813879.480756,92910942.6925618,120216017.556152,104576495.70641,123754285.361587,288731522.142357,346552078.976619,153573370.702718,83981325.7341622,93722574.3158356,69631054.053927,124833151.026493,92885388.5633041,46263101.049287,114024660.121814,97431976.4735789,151271628.230867,202333092.274125,133908540.326001,106204179.16137,289857032.537224
Australia,8457776859.55028,2612066526.44483,4941906671.70674,5312435141.58877,4458484243.65442,13268875155.4923,4563952446.39275,8088068982.50254,7597610928.17343,2210917991.82997,14892978180.1828,10717133150.6924,14656321800.5386,8985246029.5004,42907672820.3756,-25093141435.1896,30551100656.5983,44440876036.5147,45170097261.1184,28932973452.6035,35554698682.4247,65578266555.523,57571285654.7447,54472699003.596,63204516347.8726,46892808567.8516,42970225977.7088,48199372039.9015,60686639529.923,38745129661.1196,15841437866.4355,27804057511.3258
Austria,653000000.0,360000000.0,1485517753.327,1125106121.754,2075823594.136,1825090252.708,4323513091.624,2668974816.371,4571855706.741,2974499987.642,8501013451.262,5689434546.447,138346430.756,6195021861.464,3183649649.538,81096089418.116,10500457158.3387,68865787583.4395,6301143681.98324,14300064389.0077,-22007325156.2772,22983942931.9265,5218620112.78237,451107665.231021,1712175273.93107,-7975773543.92081,-28939340169.025,13518864836.2849,-28605757320.128,-12394032432.5489,-12432935050.0012,17776438775.8302
