Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,,,,,,,,,,,,,943.116264973779,970.645114676507,971.811023482828,1075.67137317936,1120.89312847686,1287.06440027539,1336.21033898238,1575.31677908966,1771.19798501195,1749.93699491677,1958.44762747924,2062.05917625276,2110.82956797747,2128.12593822669,2023.83465629732,2096.09311055337,2110.23938365518,2168.13376468688,2078.59508637203,1673.14418861155
Angola,3283.17084264682,3315.70892012087,3091.20134167919,2330.66232463358,2336.37906790098,2654.40279083022,2968.58657619534,3133.18615405633,3210.0823089319,3220.72474626244,3285.95341568284,3388.14868776504,3782.89222467172,3839.57282705314,4223.63778745545,4835.66952220115,5364.43766234147,6056.77918764932,6615.11498307247,6471.28487885863,6586.46581926881,6700.11409977804,7389.31496018756,7643.9219442902,8123.04806537777,7274.09047477931,7027.14663413219,7216.06137267002,7043.95535982329,6882.27912260866,6367.43731675631,6523.46361278762
Albania,2549.23481602255,1908.93577216008,1823.13745328374,2057.278866733,2289.68406010844,2665.54660699017,2979.82040814763,2717.13899467845,3021.02878754645,3471.64661643634,3861.30093630736,4300.82779352662,4751.75772667328,5000.33669862432,5427.8558132697,5865.29135442867,6566.54932465516,7284.99042880803,8228.37543743763,8812.73979686053,9627.07697313628,10207.7247723504,10526.2388106069,10570.9731581409,11259.3036811774,11658.8307104915,12078.7842635213,12770.9664236798,13498.157987926,14618.3006097429,14437.1730660262,16262.6634527606
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,86852.6844745038,85681.6988624879,85950.1945195544,84807.0913080274,88387.6525303652,92124.4273380778,93898.1784415133,96815.9387385429,92308.654444408,90839.6331566865,97390.2990609776,95748.9068524897,94688.1438684681,100101.558083729,107548.40115971,108491.294896301,107345.515721636,94896.5016027047,83865.4109958942,69931.7320214158,67759.8292636078,72666.7454527676,74853.5750972265,75877.9979631878,78859.0891166617,69705.704856878,68853.8197724917,71182.3707145056,73270.6715789192,74826.5184162299,71458.6385200044,77272.9994194784
Argentina,7183.58382562643,7990.18800352353,8699.39508000729,9506.50543115127,10138.6816541837,9925.12989526904,10531.8458193995,11444.4740607451,11880.4806279761,11506.6988843989,11542.9860028113,11159.3299223816,9990.72022161809,10974.3241728286,12162.3374741639,13513.6702919661,14896.7335378162,16510.4482429226,17336.9328242167,16249.730130137,18063.9143432506,19322.2271236942,19641.3528638347,20131.6804246983,19683.7715056442,20105.1989918165,20307.870052142,23597.117752839,23294.0986752419,23007.8365916056,20797.7259531997,23834.4731183679
Armenia,2756.57332354643,2473.87354790732,1490.35193668474,1438.58850813848,1587.04298834687,1758.67355702797,1909.64268102564,2023.94715018545,2217.0578535948,2347.50209987159,2572.4208203298,2915.45578555773,3382.06032385789,3958.32998572176,4518.26274645491,5339.90170201023,6274.02820664947,7380.23153964858,8097.3050071749,7045.33072468128,7331.38650353822,7881.77173468477,9267.39700562965,9822.94744066856,10114.93983675,10132.318975243,10966.8533270074,12509.6396064818,13549.5224245895,14924.776928318,14105.9112525331,15676.3282908496
Antigua and Barbuda,12880.5511999373,13540.5492561906,13787.47976733,14594.2959398031,15607.6720619553,14944.7957874133,15898.1157440955,16717.0522354267,17374.6863760041,17963.6381321169,19189.4483202303,18444.3152986474,18683.9883960014,19982.6865843469,21464.3654261776,23296.7240269624,26724.1972976173,29593.0803504902,29708.9717535717,25923.1120268421,23850.1402677498,23584.2714499711,22350.4932824863,21806.3920194394,21788.6401028276,21162.092794509,21558.9954266263,21672.0448949248,23604.836955921,24641.2293534997,20130.1690538752,22622.1761177229
Australia,17380.8816876752,17835.3580774279,18253.5816346613,19215.9605874947,20170.5253980883,21038.6667853022,22132.1929034356,23124.9639117233,24378.2453109245,25485.39144594,26541.6653208437,27645.8140289701,29032.4909555888,30121.8184177337,31763.7960926854,33036.5834770249,34846.7156302418,36653.8417179443,37532.9990434133,40312.3951186945,39374.6321044163,42025.4645815618,42866.6043295085,45936.049310436,46914.3867078836,46292.0954391179,47289.2859136343,48418.558421681,50251.3353381469,52746.7182896307,54064.0794661947,57406.1787604549
Austria,19459.1853817091,20602.8842323951,21278.1008434046,21717.3827088261,22626.6999440699,23681.2123261073,24552.0264768985,25422.0232889956,26674.8408048973,27606.4830303088,29379.7422969788,29711.5838626165,31178.6933297272,32146.0152926271,33774.7873879307,35013.7140443423,37661.922416092,39439.6039049819,41316.225176699,40916.9197419528,42002.1571364403,44452.7327457999,46457.3457770311,47922.0491207455,48799.7154676985,49865.9039424185,52684.0171130768,54172.9867888254,56937.944282984,60574.6271030491,58610.8343636691,63421.2035870778
