Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,,,,,,,,,,,,,,,,,,,,404.601354676984,506.922383976213,568.57741049834,607.612117813063,598.899584616379,577.260184350981,550.241360031403,485.792229404441,498.041221154798,467.286034432628,469.477760109331,476.899059736407,339.682114402906
Angola,562.544484131917,684.866584027703,75.2196529339516,88.7824030937747,15.4845100474369,181.051487936959,208.478747227375,265.630618637977,252.983343984516,164.262800278047,198.961805422827,251.398032436225,547.354168293078,653.349989132428,772.384339262452,1010.97822105535,1367.00353280431,1469.13535418347,1509.09282119146,1862.56778832384,1869.18281568866,2459.51540359824,2864.09361886142,3187.60176063056,3490.92152311812,2374.53199639527,1207.21521471988,1501.63753107881,1507.86345332325,1328.70814309117,1100.96283392811,1232.94823320045
Albania,491.207828065785,250.883167599471,136.05456779476,316.128432130117,508.952316437995,669.043649546814,914.573037886509,643.215894620855,749.072786404266,949.097159329714,1038.95668573873,1186.74338268123,1308.21655164817,1699.39248932487,2171.04442045365,2437.80154959898,2742.93361073877,3229.97720153639,3830.34092728254,3517.60915298582,3509.84273933796,3753.96548548714,3522.37285714341,3757.69694624319,3844.27714101452,3277.78824342231,3467.34757015458,3729.9682187209,4340.91985405721,4361.99929292963,4322.54967533332,5262.91359620389
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,29091.2777003706,27748.8662685811,26933.2725616769,28612.6595264783,32571.2601684931,35772.7724292156,38567.6010076643,38298.290426257,38058.2756742848,27082.1149736514,30466.4525392112,35985.4822292055,39212.051068137,40608.3550640051,41970.9453815871,38036.417301544,37885.642214276,39650.7380613268,42283.6791380594,41217.325314866,34318.6772214969,
Argentina,3696.21287343577,5041.37105815885,6077.90556056918,6198.74986272627,6584.95134566189,6396.37426397977,6696.47389083188,7074.40425298825,7112.761604335,6548.74003849513,6430.93331567539,6002.28904723084,1995.25886604374,2702.54351033396,3206.86287911915,3812.03821922772,4894.93174744607,6111.11465575818,7573.70820060484,6837.52985820003,8670.41434604769,10725.1625445474,10884.7039970048,10909.0982030467,10265.6706575334,11761.7812304783,10865.7898884491,12578.1461370703,9879.58460964496,8244.06867842616,7211.54102567579,8993.54741048778
Armenia,,,,,,388.849430122804,424.129827240854,450.881117068247,514.386279739587,503.413993860263,524.80258369214,589.474906732076,664.122450617271,800.108418378397,1045.08728943313,1450.458901703,1934.08272637166,2836.28423656564,3669.31674913557,2672.25913217548,2850.68503151244,3100.3237483188,3291.40822644599,3551.64090532804,3675.97696420668,3288.58408719086,3245.38155613628,3630.54115916447,3859.45656294628,4222.08827819678,3818.01029926351,4023.25142894731
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,14199.3838590817,14632.7086233586,14470.3100400954,13945.3983231542,14441.5394454548,16118.0465390039,17458.7387478999,18756.0527008555,17083.6828484947,16493.576034341,17264.5748283029,15632.6872788808,16161.3183536818,18933.2480801539,24524.4980341804,26918.7794818103,28348.2066374157,31382.2393639742,38072.6751896914,33482.7319025883,40434.7356960586,48363.1354657542,53605.7387158548,53871.5549340191,48732.9249252793,44512.5960291842,39077.6893174716,42069.0851472692,44204.1255021825,42130.8946366101,40036.4458219231,45710.8904505974
Austria,18400.4300612695,18906.0615202247,20999.6474181654,20251.0989411704,21546.5845640188,25386.4887277949,25025.5534198687,22282.1452635772,22789.9986892811,22355.1945001538,20391.6238651787,20142.9099925948,21920.5219775302,26718.4184396893,30611.249197044,31858.6160351506,33992.1804344707,39159.0057763079,43635.1099279055,39649.3948236994,39022.2561552357,42625.237354533,39980.6308392887,41694.0714086868,42465.7666055794,35811.6857751508,37196.1677474225,38441.7327185494,41651.8073903702,40712.5753412494,39515.5574069958,43281.7334797461
