Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,,,,,,,,,,,,,,,,,,,,,,31.4488506317139,,,,,,,,,,37.266040802002
Angola,,,,,,,,,,,,67.4054183959961,,,,,,,,,,,,,66.0301132202148,,,,,,,
Albania,,,,,,,,,,,,98.7129821777344,,,,,,,95.9386367797852,,,96.8452987670898,97.2469711303711,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,90.0338516235352,,,,,,,,,,,,,,97.7825088500977,,98.1263580322266
Argentina,,96.0407180786133,,,,,,,,,,97.1933135986328,,,,,,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,99.4001617431641,,,,,,,,,,99.7444076538086,,,,,99.7444076538086,99.7360687255859,,,99.7886123657227,
Antigua and Barbuda,,,,,,,,,,,,98.9499969482422,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,98.7918014526367,,,,,,,,99.5931930541992,,99.7598419189453,99.7711410522461,99.7786331176758,99.7757720947266,99.7893600463867,99.7889862060547,99.7880630493164,99.7900619506836,99.7912292480469,,99.7959823608398,,
Burundi,37.3847198486328,,,,,,,,,,59.3036193847656,,,,,,,,48.0840606689453,,,,,,61.5134887695312,,,68.3753280639648,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,27.2451705932617,,,,,,,,,,34.6578483581543,,,,28.7021102905273,,,,,,32.9488182067871,,,,,,,,,
Burkina Faso,,13.5692300796509,,,,,12.8481702804565,,,,,,,21.8229198455811,,23.5221996307373,22.4725799560547,28.2936592102051,,,,,,,34.5993995666504,,,,39.3458518981934,29.6632804870605,,
Bangladesh,,35.3193016052246,,,,,,,,,,47.4855003356934,,,,,,46.6636009216309,,,,58.7691802978516,57.8607482910156,61.0155410766602,61.0932998657227,65.1373291015625,72.7587203979492,72.8929672241211,73.9122009277344,74.6844635009766,74.9088973999023,
Bulgaria,,,,,,,,,,,,98.2035598754883,,,,,,,,,,98.3524475097656,,,,,,,,,,98.4199981689453
Bahrain,,84.0138320922852,,,,,,,,,,86.5487365722656,,,,,,,,,,92.3000030517578,,,,,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,89.063591003418,,,,,,,,,96.6631011962891,,,,,,,,,,,98.1420364379883,,96.9917678833008,,,,,,,,
Belarus,,,,,,,,,,99.5907287597656,,,,,,,,,,99.617057800293,,,,,,,,,,99.8740005493164,,
Belize,,70.2984237670898,,,,,,,,,,80.9000015258789,,,,,,,,,,,,,,,,,,,,
Bolivia,,,79.9917678833008,,,,,,,,,86.7236709594727,,,,,,90.7434692382812,90.698112487793,91.1678314208984,,92.2261505126953,94.4605712890625,,,92.455078125,,,,,93.8525619506836,
Brazil,,,,,,,,,,,86.3678817749023,,,,88.6162414550781,,89.6152267456055,90.0093688964844,90.03662109375,90.298210144043,90.3791809082031,91.4112396240234,91.3378524780273,91.4842376708984,91.7294311523438,92.0478973388672,92.8084411621094,93.0758209228516,93.2275009155273,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,,87.8041763305664,,,,,,,,,,92.6711273193359,,,,,,,,,,96.085563659668,,,,,,,97.214111328125,,,97.5899963378906
Bhutan,,,,,,,,,,,,,,,,52.8146896362305,,,,,,,55.3175582885742,,,,,66.561149597168,,,,
Botswana,,68.5809097290039,,,,,,,,,,,,81.1887130737305,,,,,,,,,,86.8231811523438,,,,,,,,
