Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,,,,,,,,,,,,,,,,,,,,,,17.0178394317627,,,,,,,,,,22.6007804870605
Angola,,,,,,,,,,,,54.1944885253906,,,,,,,,,,,,,53.4072113037109,,,,,,,
Albania,,,,,,,,,,,,98.2522735595703,,,,,,,94.6818084716797,,,95.6914825439453,96.1360702514648,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,91.4747467041016,,,,,,,,,,,,,,97.1254272460938,,97.170768737793
Argentina,,95.9169998168945,,,,,,,,,,97.1934127807617,,,,,,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,99.1610717773438,,,,,,,,,,99.6903533935547,,,,,99.6903533935547,99.6771621704102,,,99.7445068359375,
Antigua and Barbuda,,,,,,,,,,,,99.4199981689453,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,98.1747817993164,,,,,,,,99.3839416503906,,99.6821517944336,99.692626953125,99.704963684082,99.7028579711914,99.7168197631836,99.7196578979492,99.7171401977539,99.7195510864258,99.7219924926758,,99.7267532348633,,
Burundi,27.5293006896973,,,,,,,,,,52.2377586364746,,,,,,,,43.1571884155273,,,,,,54.641658782959,,,61.223690032959,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,16.5651206970215,,,,,,,,,,23.3001403808594,,,,18.4429092407227,,,,,,22.093879699707,,,,,,,,,
Burkina Faso,,8.22542953491211,,,,,8.05797958374023,,,,,,,15.1887702941895,,16.6222400665283,16.291130065918,21.0272197723389,,,,,,,26.2202491760254,,,,31.0440807342529,24.6815395355225,,
Bangladesh,,25.8389797210693,,,,,,,,,,40.8233489990234,,,,,,43.7408485412598,,,,55.1194381713867,54.2360382080078,57.7890014648438,57.8609313964844,62.2529907226562,69.8972091674805,70.0857009887695,71.1819381713867,71.9483871459961,72.0047836303711,
Bulgaria,,,,,,,,,,,,97.7064895629883,,,,,,,,,,97.9839019775391,,,,,,,,,,98.1699981689453
Bahrain,,76.9323196411133,,,,,,,,,,83.5574188232422,,,,,,,,,,90.6999969482422,,,,,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,81.9593276977539,,,,,,,,,94.3599395751953,,,,,,,,,,,96.8037109375,,94.9104919433594,,,,,,,,
Belarus,,,,,,,,,,99.4197235107422,,,,,,,,,,99.4939880371094,,,,,,,,,,99.8765106201172,,
Belize,,70.3283920288086,,,,,,,,,,81.3000030517578,,,,,,,,,,,,,,,,,,,,
Bolivia,,,72.3132171630859,,,,,,,,,80.6543807983398,,,,,,85.9859390258789,86.8317489624023,86.8214569091797,,88.0802001953125,91.8732681274414,,,88.5828628540039,,,,,90.5025863647461,
Brazil,,,,,,,,,,,86.5000534057617,,,,88.8061294555664,,89.8555908203125,90.2280120849609,90.2195510864258,90.4112167358398,90.6817016601562,91.6331481933594,91.6249008178711,91.7649612426758,92.0605163574219,92.3437881469727,93.0212020874023,93.2437133789062,93.4250717163086,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,,82.4613571166992,,,,,,,,,,90.1615524291992,,,,,,,,,,94.6524810791016,,,,,,,96.3012619018555,,,96.8600006103516
Bhutan,,,,,,,,,,,,,,,,38.6806602478027,,,,,,,45.2045097351074,,,,,57.0836181640625,,,,
Botswana,,71.2992401123047,,,,,,,,,,,,81.8079528808594,,,,,,,,,,87.4512100219727,,,,,,,,
Central African Republic,,,,,,,,,,,35.290901184082,,,,,,,,,,24.355489730835,,,,,,,,25.7563800811768,,26.2000007629395,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,94.0367126464844,,,,,,,,,,95.6409301757812,,,,,,,,,96.5307083129883,,96.161750793457,,96.7439575195312,,96.3340225219727,,,,
China,68.0720825195312,,,,,,,,,,86.5266036987305,,,,,,,,,,92.7112274169922,,,,,,,,,,95.6100006103516,
Cote d'Ivoire,,,,,,,,,28.4766693115234,,38.6145095825195,,,,,,,,,,,,30.4617195129395,,36.7842483520508,,,,,86.7412490844727,,
Cameroon,,,,,,,,,,,58.7217597961426,,,,,,,63.0220603942871,,,64.7994995117188,,,,,,,,71.5862731933594,,73.120002746582,
Congo Democratic Republic,,,,,,,,,,,,54.0609016418457,,,,,,46.1042518615723,,,,,62.9186401367188,,,,66.4999771118164,,,,,
Congo Republic,,,,,,,,,,,,,,,,67.4807662963867,,,,,,72.8770599365234,,,,,,,,,,75.370002746582
Colombia,,,,91.1479034423828,,,91.3140029907227,,,,,,,,92.7146301269531,92.911247253418,92.2205963134766,92.8456192016602,93.4353713989258,93.4151306152344,93.4867935180664,93.6671295166016,,,94.4846572875977,94.4158172607422,94.8902206420898,,95.3189163208008,95.4690322875977,95.8750610351562,
Comoros,,,,,,,,,,,63.4590187072754,,,,,,,,,,,,42.6372909545898,,,,,,,,,
Cabo Verde,52.9986190795898,,,,,,,,,,69.4445571899414,,,,,,,,,,,,80.496223449707,,,82.0422210693359,,,,,,
Costa Rica,,,,,,,,,,,95.0807876586914,,,,,,,,,,,97.5004119873047,,,,,,,,,,98.0999984741211
Cuba,,,,,,,,,,,,,99.7909164428711,,,,,,,,,,99.7171478271484,,,,,,,,,99.7171478271484
Cyprus,,,91.0017776489258,,,,,,,,,95.0796585083008,,,,,,,,,,98.1162261962891,,,,,,,,,,99.1500015258789
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,87.1770935058594,,,,,88.2771682739258,,,89.6973037719727,90.2255706787109,90.2241668701172,91.2505111694336,92.1477890014648,92.3210601806641,93.7641296386719,,,,,
