Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,,,,,,,,,,,,,,,,,,,,,,45.417099,,,,,,,,,,52.06343079
Angola,,,,,,,,,,,,82.91986847,,,,,,,,,,,,,79.97415161,,,,,,,
Albania,,,,,,,,,,,,99.18760681,,,,,,,97.30619812,,,98.00816345,98.35260773,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,89.48210144,,,,,,,,,,,,,,98.22319794,,98.81452942
Argentina,,96.17405701,,,,,,,,,,97.19319916,,,,,,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,99.67223358,,,,,,,,,,99.80608368,,,,,99.80608368,99.80549622,,,99.84332275,
Antigua and Barbuda,,,,,,,,,,,,98.40000153,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,99.47241974,,,,,,,,99.82096863,,99.84266663,99.85443878,99.85665894,99.85285187,99.86592102,99.86200714,99.86263275,99.86405182,99.86374664,,99.86824036,,
Burundi,48.23625183,,,,,,,,,,67.30693054,,,,,,,,53.12839127,,,,,,69.58728027,,,76.29605103,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,39.90332031,,,,,,,,,,47.86595917,,,,40.61616898,,,,,,44.96025848,,,,,,,,,
Burkina Faso,,19.62612915,,,,,18.51778984,,,,,,,29.36199951,,31.37454987,29.71435928,36.57479858,,,,,,,44.37945175,,,,49.17272949,35.40927124,,
Bangladesh,,44.31428146,,,,,,,,,,53.89609146,,,,,,49.8323288,,,,62.48305893,61.54286957,64.21376801,64.36508942,68.05535889,75.61885071,75.70236206,76.66925812,77.44149017,77.81671143,
Bulgaria,,,,,,,,,,,,98.73660278,,,,,,,,,,98.74723053,,,,,,,,,,98.69000244
Bahrain,,88.53736877,,,,,,,,,,88.55410767,,,,,,,,,,93.09999847,,,,,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,96.30541992,,,,,,,,,99.03370667,,,,,,,,,,,99.54132843,,99.17627716,,,,,,,,
Belarus,,,,,,,,,,99.79210663,,,,,,,,,,99.76368713,,,,,,,,,,99.87095642,,
Belize,,70.26876831,,,,,,,,,,80.40000153,,,,,,,,,,,,,,,,,,,,
Bolivia,,,88.15558624,,,,,,,,,93.05747223,,,,,,96.03626251,94.95542908,95.80364227,,96.60105133,97.10704803,,,96.52275085,,,,,97.44428253,
Brazil,,,,,,,,,,,86.22798157,,,,88.40946198,,89.35324097,89.7721405,89.83786774,90.17484283,90.05618286,91.16898346,91.02567291,91.17796326,91.36676788,91.72515869,92.57515717,92.8915329,93.00904083,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,,92.45218658,,,,,,,,,,95.15042114,,,,,,,,,,97.42816162,,,,,,,98.05361938,,,98.26000214
Bhutan,,,,,,,,,,,,,,,,65.0477829,,,,,,,66.00305939,,,,,75.01985168,,,,
Botswana,,65.38694,,,,,,,,,,,,80.43010712,,,,,,,,,,86.12213898,,,,,,,,
Central African Republic,,,,,,,,,,,66.78952789,,,,,,,,,,50.71271133,,,,,,,,49.51459122,,49.22999954,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,94.5630722,,,,,,,,,,95.79640961,,,,,,,,,96.89878082,,96.38800812,,97.02468872,,96.48062897,,,,
China,87.02497864,,,,,,,,,,95.13524628,,,,,,,,,,97.47946167,,,,,,,,,,98.62999725,
Cote d'Ivoire,,,,,,,,,43.94641876,,60.86066055,,,,,,,,,,,,51.59267044,,50.70190048,,,,,93.14134979,,
Cameroon,,,,,,,,,,,79.19451904,,,,,,,78.9499588,,,78.32769012,,,,,,,,82.6280365,,83.40000153,
Congo Democratic Republic,,,,,,,,,,,,80.92324066,,,,,,76.91568756,,,,,87.90838623,,,,88.52468872,,,,,
Congo Republic,,,,,,,,,,,,,,,,86.04982758,,,,,,86.43431091,,,,,,,,,,85.94000244
Colombia,,,,90.97265625,,,91.0891037,,,,,,,,92.9041214,92.77794647,92.39279938,92.42970276,93.31687927,93.06253815,93.25019073,93.48825836,,,93.86740112,94.06317139,94.40228271,,94.85182953,95.01589203,95.38252258,
Comoros,,,,,,,,,,,74.51403809,,,,,,,,,,,,56.47980118,,,,,,,,,
Cabo Verde,74.75926971,,,,,,,,,,83.83760834,,,,,,,,,,,,90.47450256,,,91.69143677,,,,,,
Costa Rica,,,,,,,,,,,94.650177,,,,,,,,,,,97.30632782,,,,,,,,,,97.98999786
Cuba,,,,,,,,,,,,,99.80731201,,,,,,,,,,99.62846375,,,,,,,,,99.62846375
Cyprus,,,97.83058929,,,,,,,,,98.63104248,,,,,,,,,,99.28614807,,,,,,,,,,99.58000183
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,86.8110199,,,,,88.21015167,,,89.37703705,89.98500824,90.08482361,90.45812988,91.37159729,91.65071106,93.79360199,,,,,
Algeria,,,,,,,,,,,,,79.18669128,,,,81.28404236,,82.6158371,,,,,,,,,,87.42295837,,,
Ecuador,90.49677277,,,,,,,,,,,92.32713318,,,,,,93.3891983,93.74945068,93.66378021,93.31687164,93.05252075,93.25424194,94.42572784,95.25717163,95.72621918,95.44502258,93.77906036,,,94.81250763,94.93881989
Egypt,,,,,,,67.15177917,,,,,,,,,77.91013336,74.62180328,,,,80.26864624,,81.67922211,81.69406128,,,,76.49521637,,,,
Eritrea,,,,,,,,,,,,,65.39012146,,,,,,75.07241058,,,,,,,,,,84.37323761,,,
Spain,,98.03549194,,,,,,,,,,,,,98.14391327,98.61746979,98.56102753,98.633461,98.40229797,98.46193695,98.52571106,98.53618622,98.60652924,98.74874878,98.73126984,98.77088928,98.83596802,,98.92539215,,99.02506256,
Estonia,,,,,,,,,,,99.77594757,,,,,,,,,,,99.85897827,,,,,,,,,,99.87000275
Ethiopia,,,,,35.98252869,,,,,,,,,,50.0,41.9366188,,49.13465881,,,,,,,,,,59.24145889,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,79.44418335,,,,,,,,,,,,,,,,,,,84.87329865,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,99.76898193,,,,,,,,,,,,99.66821289,,,99.43752289,,,,
Ghana,,,,,,,,,,,66.35128021,,,,,,,,,,78.34890747,,,,,,,,,,84.48999786,
Guinea,,,,,,,32.89533997,,,,,,,42.9031601,,,,,,,36.78979111,,,,43.64009094,,,,54.43117142,,,61.15000153
Gambia,,,,,,,,,,,48.98115158,,,,,,,,,,,,,51.41804123,,61.76725006,,,,,,
Guinea-Bissau,,,,,,,,,,,57.61375046,,,,,,,,,,,,,,62.15797043,,,,,,,
Equatorial Guinea,,,,,,,,,,,94.84261322,,,,,,,,,,97.18399811,,,,,,,,,,,
Greece,,96.03746033,,,,,,,,,,97.81121826,,,,,,,,96.06622314,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,71.70639038,,,,,,,,75.41558075,,,,,,,,,,84.84873199,82.72068024,86.75615692,,,,85.34117889,,,
Guyana,,,,,,,,,,,,,,,,,,,,82.43656158,,,,,86.31437683,,,,,,,
Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,79.78523254,,,,,,83.74603271,,,84.78900909,85.34127808,85.69619751,85.66837311,87.39595032,87.92208099,89.04894257,,87.13764191,88.24963379,,
Croatia,,98.75705719,,,,,,,,,,99.32058716,,,,,,,,,,,,,,,,,,,,99.69000244
Haiti,,,,,,,,,,,,,,63.09001923,,,53.35504913,,,,,,,,,,65.27764893,,,,,
Hungary,99.30000305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.09999847
Indonesia,88.02452087,,,,,,,,,,,,,,94.03507996,,95.15853882,,95.38318634,95.6470108,,95.59108734,,,96.791008,97.10652161,97.17443848,,97.33133698,,97.4493103,
India,,61.64191818,,,,,,,,,,73.4118576,,,,,75.19190216,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,,74.27448273,,,,,79.87161255,,,,,,83.5,,,88.01032257,87.27218628,,88.17703247,,,,88.87982178,89.54248047,89.63542175,,90.35240936,,,,,
Iraq,,,,,,,,,,,84.08740997,,,,,,,,,,,,85.90000153,,90.0,,90.0,91.19999695,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,98.82369232,,,,,,,,,,99.14100647,,,,,,,,99.4833374,,
Jamaica,,,,,,,,,,74.08184052,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,95.08450317,,95.17645264,,95.49455261,,,95.76724243,97.74835968,98.44455719,,,,,,,,,98.70999908
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,99.76329803,,,,,,,,,,99.78624725,99.8296814,,,,,,,,,,99.90000153,
Kenya,,,,,,,,,,,87.49465942,,,,,,,78.07914734,,,,,,,83.7780304,,,,,,,
Kyrgyzstan,,,,,,,,,,99.30670929,,,,,,,,,,99.5187912,,,,,,,,,,99.69999695,,
Cambodia,,,,,,,,,79.48217773,,,,,,84.68000793,,,,84.98745728,83.93267822,,,,,84.81414795,86.53244019,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,,,,,,,,,,,,,,,,,,,98.31552124,,,,,,,,,,99.19999695,,,
Kuwait,,,,,,81.12094879,,,,,,,,,,94.44603729,94.52522278,94.79457855,95.01587677,,95.54531097,,95.83972168,96.35418701,,96.39225006,,96.69714355,96.66645813,,97.05384827,
Lao,,,,,,73.48625183,,,,,81.36018372,77.00605774,,,,82.45175171,,,,,,67.35858154,,,,89.96128082,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,93.37893677,,94.27194977,,,,,,,,,,97.01000214,,
Liberia,,,,,,,,,,,,,,,,,,60.77481079,,,,,,,,,,62.69655991,,,,
Libya,,,,,87.72000122,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,,,,,,,,,,,,92.27020264,,,,,92.71365356,,92.243927,,92.57846832,,,,,,93.45588684,92.98055267,92.77292633,93.03135681,93.2840271,93.34226227
Lesotho,,,,,,,,,,,79.99578094,,,,,,,,,65.5219574,,,,,67.74746704,,,,,,,
Lithuania,,,,,,,,,,,,99.64315033,,,,,,,,,,99.79418945,,,,,,,,,,99.80999756
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
