Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,1500.0,1530.0,1520.0,1480.0,1540.0,1490.0,1440.0,1470.0,1410.0,1470.0,1450.0,1390.0,1300.0,1240.0,1180.0,1140.0,1120.0,1090.0,1030.0,993.0,954.0,905.0,858.0,810.0,786.0,701.0,673.0,638.0,638.0,638.0,638.0,638.0
Angola,1150.0,1100.0,1130.0,1110.0,1130.0,1060.0,1020.0,985.0,953.0,909.0,827.0,766.0,690.0,628.0,574.0,519.0,473.0,431.0,395.0,359.0,326.0,300.0,281.0,269.0,258.0,251.0,246.0,241.0,241.0,241.0,241.0,241.0
Albania,40.0,47.0,49.0,47.0,39.0,38.0,32.0,30.0,27.0,25.0,23.0,23.0,21.0,21.0,18.0,22.0,18.0,19.0,20.0,20.0,21.0,22.0,17.0,16.0,16.0,15.0,16.0,15.0,15.0,15.0,15.0,15.0
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,13.0,12.0,11.0,10.0,10.0,9.0,8.0,8.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Argentina,84.0,82.0,80.0,76.0,75.0,72.0,71.0,71.0,69.0,70.0,66.0,67.0,65.0,65.0,61.0,59.0,57.0,56.0,53.0,56.0,51.0,48.0,47.0,44.0,42.0,41.0,40.0,39.0,39.0,39.0,39.0,39.0
Armenia,52.0,47.0,56.0,60.0,54.0,54.0,55.0,50.0,50.0,43.0,43.0,42.0,39.0,38.0,36.0,35.0,36.0,32.0,36.0,32.0,32.0,30.0,30.0,26.0,27.0,28.0,26.0,26.0,26.0,26.0,26.0,26.0
Antigua and Barbuda,54.0,54.0,55.0,52.0,52.0,51.0,51.0,52.0,50.0,49.0,44.0,44.0,43.0,44.0,41.0,40.0,46.0,48.0,50.0,45.0,44.0,43.0,44.0,43.0,42.0,43.0,43.0,42.0,42.0,42.0,42.0,42.0
Australia,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Austria,8.0,8.0,8.0,8.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Azerbaijan,37.0,39.0,46.0,50.0,57.0,57.0,55.0,54.0,52.0,49.0,47.0,44.0,43.0,44.0,39.0,42.0,35.0,34.0,32.0,32.0,31.0,30.0,29.0,28.0,28.0,27.0,26.0,26.0,26.0,26.0,26.0,26.0
Burundi,1290.0,1340.0,1360.0,1360.0,1340.0,1280.0,1220.0,1130.0,1090.0,1030.0,1010.0,956.0,925.0,890.0,844.0,814.0,785.0,756.0,733.0,698.0,665.0,635.0,608.0,591.0,576.0,568.0,558.0,548.0,548.0,548.0,548.0,548.0
Belgium,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Benin,572.0,564.0,557.0,552.0,548.0,544.0,539.0,533.0,530.0,525.0,520.0,516.0,511.0,510.0,505.0,500.0,493.0,486.0,480.0,471.0,464.0,458.0,450.0,441.0,432.0,421.0,408.0,397.0,397.0,397.0,397.0,397.0
Burkina Faso,702.0,673.0,651.0,633.0,617.0,598.0,581.0,564.0,546.0,531.0,516.0,501.0,486.0,471.0,454.0,437.0,422.0,410.0,401.0,393.0,385.0,377.0,369.0,362.0,353.0,343.0,331.0,320.0,320.0,320.0,320.0,320.0
Bangladesh,595.0,589.0,552.0,534.0,514.0,499.0,482.0,467.0,457.0,445.0,434.0,423.0,410.0,395.0,372.0,343.0,315.0,297.0,280.0,269.0,258.0,248.0,238.0,227.0,214.0,200.0,186.0,173.0,173.0,173.0,173.0,173.0
Bulgaria,25.0,24.0,24.0,22.0,24.0,23.0,22.0,24.0,21.0,20.0,19.0,18.0,17.0,16.0,16.0,15.0,14.0,13.0,13.0,12.0,12.0,12.0,11.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Bahrain,21.0,29.0,19.0,21.0,18.0,19.0,22.0,22.0,21.0,20.0,27.0,19.0,25.0,21.0,21.0,19.0,24.0,16.0,18.0,19.0,18.0,15.0,18.0,17.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0
Bahamas,68.0,69.0,71.0,72.0,72.0,72.0,72.0,72.0,73.0,74.0,75.0,76.0,78.0,79.0,78.0,77.0,78.0,77.0,77.0,78.0,78.0,78.0,78.0,78.0,77.0,74.0,72.0,70.0,70.0,70.0,70.0,70.0
Bosnia and Herzegovina,27.0,29.0,30.0,29.0,27.0,25.0,22.0,20.0,19.0,18.0,17.0,16.0,14.0,14.0,14.0,13.0,13.0,13.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Belarus,33.0,32.0,32.0,34.0,33.0,33.0,32.0,29.0,27.0,25.0,22.0,19.0,18.0,15.0,13.0,11.0,9.0,7.0,6.0,6.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
Belize,77.0,94.0,108.0,109.0,106.0,102.0,97.0,93.0,92.0,89.0,89.0,88.0,82.0,80.0,75.0,70.0,65.0,61.0,59.0,57.0,54.0,52.0,50.0,48.0,46.0,43.0,39.0,36.0,36.0,36.0,36.0,36.0
Bolivia,473.0,455.0,439.0,422.0,406.0,393.0,379.0,367.0,356.0,344.0,331.0,320.0,309.0,297.0,283.0,271.0,258.0,246.0,234.0,222.0,212.0,202.0,192.0,184.0,175.0,168.0,161.0,155.0,155.0,155.0,155.0,155.0
Brazil,115.0,112.0,111.0,112.0,109.0,103.0,97.0,89.0,83.0,75.0,69.0,68.0,69.0,70.0,71.0,71.0,72.0,71.0,70.0,69.0,65.0,61.0,60.0,61.0,62.0,63.0,62.0,60.0,60.0,60.0,60.0,60.0
Barbados,76.0,74.0,72.0,70.0,67.0,64.0,61.0,58.0,55.0,53.0,50.0,48.0,47.0,45.0,43.0,42.0,41.0,40.0,39.0,38.0,36.0,35.0,34.0,32.0,31.0,31.0,30.0,27.0,27.0,27.0,27.0,27.0
Brunei Darussalam,33.0,30.0,29.0,30.0,31.0,31.0,30.0,29.0,28.0,28.0,28.0,28.0,29.0,30.0,30.0,29.0,28.0,27.0,27.0,27.0,28.0,28.0,29.0,28.0,29.0,30.0,31.0,31.0,31.0,31.0,31.0,31.0
Bhutan,809.0,752.0,698.0,647.0,606.0,557.0,520.0,485.0,456.0,427.0,423.0,384.0,365.0,348.0,332.0,310.0,291.0,275.0,264.0,255.0,247.0,239.0,231.0,223.0,214.0,203.0,193.0,183.0,183.0,183.0,183.0,183.0
Botswana,250.0,227.0,216.0,212.0,213.0,218.0,224.0,233.0,243.0,253.0,262.0,271.0,278.0,278.0,264.0,239.0,221.0,209.0,203.0,189.0,179.0,176.0,170.0,164.0,160.0,156.0,151.0,144.0,144.0,144.0,144.0,144.0
Central African Republic,1230.0,1280.0,1320.0,1320.0,1330.0,1320.0,1310.0,1310.0,1310.0,1300.0,1280.0,1290.0,1280.0,1250.0,1230.0,1200.0,1170.0,1130.0,1090.0,1050.0,1000.0,981.0,963.0,1030.0,961.0,912.0,890.0,829.0,829.0,829.0,829.0,829.0
Canada,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0
Switzerland,9.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Chile,63.0,57.0,52.0,50.0,47.0,45.0,42.0,39.0,36.0,35.0,31.0,32.0,28.0,27.0,27.0,25.0,25.0,23.0,21.0,21.0,20.0,18.0,17.0,16.0,15.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0
China,95.0,90.0,85.0,81.0,77.0,74.0,71.0,68.0,66.0,62.0,59.0,55.0,51.0,48.0,46.0,44.0,42.0,40.0,40.0,37.0,36.0,34.0,33.0,32.0,31.0,30.0,29.0,29.0,29.0,29.0,29.0,29.0
Cote d'Ivoire,704.0,711.0,718.0,723.0,724.0,721.0,713.0,709.0,706.0,705.0,704.0,706.0,713.0,711.0,709.0,704.0,699.0,698.0,694.0,700.0,701.0,703.0,702.0,691.0,676.0,658.0,636.0,617.0,617.0,617.0,617.0,617.0
Cameroon,780.0,822.0,860.0,887.0,911.0,930.0,942.0,950.0,946.0,923.0,886.0,844.0,803.0,771.0,732.0,692.0,658.0,635.0,618.0,606.0,597.0,589.0,580.0,567.0,564.0,554.0,538.0,529.0,529.0,529.0,529.0,529.0
Congo Democratic Republic,853.0,848.0,843.0,847.0,833.0,830.0,885.0,829.0,806.0,788.0,760.0,740.0,734.0,699.0,661.0,627.0,598.0,578.0,565.0,555.0,542.0,532.0,524.0,514.0,500.0,490.0,481.0,473.0,473.0,473.0,473.0,473.0
Congo Republic,662.0,678.0,691.0,702.0,700.0,702.0,705.0,731.0,736.0,764.0,739.0,752.0,769.0,757.0,724.0,677.0,623.0,580.0,552.0,526.0,506.0,488.0,468.0,449.0,433.0,416.0,397.0,378.0,378.0,378.0,378.0,378.0
Colombia,121.0,123.0,120.0,116.0,110.0,105.0,102.0,96.0,96.0,96.0,94.0,93.0,92.0,88.0,85.0,83.0,82.0,83.0,84.0,87.0,85.0,84.0,85.0,85.0,85.0,85.0,84.0,83.0,83.0,83.0,83.0,83.0
