Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,497.365461687136,492.615358422255,479.527381223695,481.173345850331,472.397961347734,456.745359648074,454.603482498861,449.267258891816,433.677424359323,441.055254278105,438.58776427709,443.087769758524,448.345608584175,467.570188203246,464.486438612497,433.185633674926,458.511115277294,471.596701317916,492.071879511267,515.36835836524,520.785338756734,520.953673858865,550.601366698465,531.08226327439,540.864115629351,,,,,,,
Albania,813.255695500012,572.781843950789,418.286629757142,412.378880465233,441.249295409311,417.034843013203,447.848870261137,384.594958328053,426.682819087559,576.183632282524,580.494764208924,597.265252650749,660.04798411018,648.168387059418,715.414483080102,719.584378082987,706.859407721917,679.861765101008,710.748498463347,732.316681804627,729.154372728518,764.968616564465,687.896259861998,801.329975005976,808.455839595944,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,10748.6547121781,11694.9217355455,10564.5097345233,10576.0523621813,11186.5382237366,11374.2224694616,11361.3978897943,11243.8954757605,10809.3104380839,10408.8652918439,9624.1182194299,11638.6194421976,10973.9083649934,10287.4932180709,10480.6153447028,10394.3003410657,9430.14610874076,8537.9169516046,8487.83598058862,7501.04058181498,7273.24930135463,7502.56209618312,7892.70590581455,7992.44216677919,7975.79060816431,,,,,,,
Argentina,1411.35746968601,1434.3241990828,1487.61907258592,1471.83130339105,1544.76057894447,1546.50812350788,1583.49370638555,1614.73000410906,1650.72610902792,1659.76805574415,1660.52009057054,1562.31178709416,1502.20934243469,1590.84132143851,1720.3112556181,1712.85349015617,1844.2651618793,1849.45279643745,1928.32659888375,1856.09639267081,1928.65235658729,1952.05105293095,1936.80353979442,1967.02167752077,2029.92282543737,,,,,,,
Armenia,2167.29241546346,2245.9136932429,1155.55558663946,634.166235459596,408.616263446239,494.952422397858,539.892412557163,569.122319434569,585.174430266467,571.879240057018,635.816751211842,640.172313144702,604.301333607297,642.396717099499,683.277637246412,824.451980575247,845.399582221758,949.558196946937,1006.92091394409,880.468752108426,842.822149731883,927.139041084666,1019.27381116181,999.64706510856,1023.8099192714,,,,,,,
Antigua and Barbuda,1560.56581606872,,,,,,,,,,,,,,1710.13795112806,1715.30881818979,1767.72359231102,1780.14046039797,,,,,,,,,,,,,,
Australia,5061.50015399826,4927.77132609536,4963.85816169283,5156.93337857719,5103.9479557628,5148.3442101981,5419.10110565474,5497.49658538926,5584.51919389427,5644.26397588297,5680.90287554624,5486.05610016985,5614.26334981772,5618.08648429316,5652.7633305677,5624.19201932671,5778.28181808136,5868.34089844726,5964.66605635347,5862.5646464103,5793.11602573559,5745.23218954465,5575.28709327857,5468.39136879598,5334.68167873774,5483.81640154023,,,,,,
Austria,3240.1113592998,3415.17308238117,3245.59207592069,3255.78470440001,3234.49298510934,3373.60356545154,3580.42079819656,3550.40417086207,3606.61037918892,3591.8094661828,3570.49882632185,3758.45756925295,3773.65172816435,3973.6243266728,4007.56990423112,4085.56765095628,4078.81222561241,4019.59016993216,4032.14842619644,3798.15116830548,4051.19602018508,3921.90051459529,3886.76773201774,3919.04441873374,3763.3279025587,3800.29942035468,,,,,,
Azerbaijan,3158.34792061545,3087.74730790918,2464.58070590148,2175.3425041362,1947.80735991996,1809.18963935535,1513.67319335309,1444.31945906293,1485.15341842538,1369.11189752905,1403.43326789752,1410.96545517309,1414.52811140548,1476.59088424964,1539.23012098959,1599.9606761322,1559.56874554337,1411.557339797,1520.31391925508,1334.16617834119,1279.552594272,1369.35099893362,1472.89739090323,1474.00343280059,1502.07816841371,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,4809.86726801499,5006.00470628876,5040.67044042513,4902.26997439133,5186.18662673891,5267.67067078591,5536.47127489148,5523.45916437528,5603.16026411035,5612.71467558683,5669.35817583222,5634.21548679492,5390.71973335359,5590.02597595848,5592.98874969209,5555.61578402951,5470.49182410472,5336.96321183546,5454.66715929162,5196.58198268641,5539.47222297176,5092.31614681439,4845.48829505754,4997.46330606994,4708.22121789549,4687.7870492938,,,,,,
Benin,323.627391413013,318.656969918644,316.66550013577,310.000155971218,305.124224388923,305.47037787577,346.685289481065,349.376846125255,334.315586307367,338.243190153359,283.318588692835,292.364671803724,304.349844445135,311.456223672213,315.471272981349,306.682599090806,350.965310746122,370.765565792117,367.992860021182,374.899073471024,386.774525154806,385.938550622122,388.30853923846,394.262532824121,403.911541234143,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,118.880944949507,114.932508982694,119.100032818648,123.368844537769,126.404789846664,134.983406277187,133.423030371464,136.91054546675,140.072931448728,139.239039927979,141.353608766496,151.715322926891,152.480017381266,157.890086478995,158.16304124819,161.758867678183,171.227835415688,177.02009687605,184.156438466608,192.043948062125,205.624589214859,210.734260116294,218.403519337997,220.232314404391,227.128103107169,,,,,,,
Bulgaria,3237.35265027347,2536.64400505678,2396.007266371,2590.01125194501,2519.85914523809,2746.66773414963,2745.71000281484,2504.1226804208,2425.94624591215,2230.66030060565,2277.36796728392,2421.14536113856,2410.96935484674,2490.41667315085,2440.69815961414,2597.89616674405,2691.46043782007,2666.11144523943,2648.86705627088,2351.6550533062,2416.70390728324,2617.12786908804,2513.35238098367,2329.122801222,2477.65540069696,,,,,,,
Bahrain,10116.9383361228,9624.0953279232,10224.3115046801,10413.2931303431,10704.9998820067,10492.1100803675,10160.0158670957,11104.0400341381,11322.2366628797,10899.6825754588,11199.6086820851,11212.3978270664,11345.2100961616,11573.2625254415,10847.8638816199,11510.3185312239,11454.0603781124,11184.1144722123,11362.0691984369,10388.4826271161,10436.7710491948,10453.083426218,10251.0696451007,10860.4686000255,10798.12284633,,,,,,,
Bahamas,2384.06874194156,,,,,,,,,,,,,,1935.35788089971,2001.12707156904,2001.90549644988,1982.2963323324,,,,,,,,,,,,,,
Bosnia and Herzegovina,1561.44013207812,1402.94945835386,1040.49811377239,940.014927791942,381.429061246621,398.394145676061,446.60778028078,665.653346008694,813.789304114473,797.939761339596,1039.92965413282,1001.23816071393,1049.50326433102,1051.44945081657,1160.83044080659,1230.97493904326,1306.04551012472,1323.41569449753,1511.77919922747,1603.37051125008,1700.65005058923,1908.97166070643,1819.09272164456,1784.07705306258,2190.94343764947,,,,,,,
Belarus,4465.22250491396,4348.44659384641,3620.56542034578,3076.68572767981,2615.75082710347,2427.70966087235,2501.45493376737,2505.497392471,2465.43965659922,2411.56894694965,2462.41105614348,2485.56511127658,2550.108823149,2643.68751307194,2752.759002794,2768.82153868282,2965.37796655132,2917.9070329077,2932.1032726227,2790.77788052353,2902.10543497378,3101.43111508223,3228.47300408306,2888.46029173763,2936.57754684202,,,,,,,
Belize,581.732744031678,,,,,,,,,,,,,,569.584901222954,574.230940704414,595.714320348839,598.977699858332,,,,,,,,,,,,,,
