Country,2021,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,5.0,0.27,0.276,0.284,0.294,0.289,0.307,0.316,0.32,0.321,0.329,0.331,0.333,0.358,0.371,0.388,0.396,0.406,0.421,0.427,0.436,0.443,0.45,0.461,0.469,0.474,0.474,0.477,0.478,0.479,0.484,0.479
Angola,10.0,,,,,,,,,,0.358,0.369,0.379,0.395,0.413,0.424,0.437,0.449,0.462,0.471,0.483,0.496,0.51,0.525,0.535,0.548,0.567,0.584,0.586,0.585,0.586,0.581
Albania,28.0,0.619,0.606,0.594,0.598,0.605,0.615,0.624,0.621,0.634,0.642,0.643,0.651,0.654,0.655,0.656,0.664,0.671,0.683,0.682,0.683,0.704,0.712,0.724,0.733,0.732,0.739,0.736,0.737,0.748,0.751,0.737
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,-105.0,0.359,0.463,0.476,0.435,0.407,0.413,0.431,0.441,0.457,0.485,0.431,0.467,0.498,0.471,0.472,0.51,0.485,0.47,0.479,0.421,0.494,0.505,0.515,0.517,0.5,0.477,0.462,0.465,0.524,0.519,0.518
Argentina,26.0,0.668,0.67,0.67,0.675,0.678,0.681,0.687,0.687,0.689,0.697,0.705,0.715,0.729,0.73,0.73,0.728,0.737,0.735,0.741,0.75,0.75,0.75,0.753,0.751,0.754,0.75,0.753,0.75,0.758,0.766,0.757
Armenia,33.0,,0.631,0.602,0.609,0.606,0.613,0.619,0.626,0.637,0.64,0.645,0.648,0.653,0.661,0.667,0.68,0.688,0.698,0.696,0.702,0.716,0.717,0.722,0.728,0.73,0.732,0.727,0.731,0.738,0.746,0.725
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,-87.0,0.622,0.626,0.625,0.623,0.616,0.625,0.609,0.613,0.59,0.602,0.601,0.619,0.59,0.572,0.573,0.592,0.592,0.587,0.605,0.606,0.605,0.602,0.599,0.616,0.609,0.615,0.617,0.611,0.618,0.623,0.635
Austria,9.0,0.691,0.675,0.683,0.695,0.696,0.703,0.695,0.702,0.707,0.703,0.71,0.716,0.713,0.717,0.718,0.709,0.717,0.721,0.721,0.732,0.735,0.73,0.739,0.738,0.743,0.748,0.749,0.754,0.759,0.763,0.764
Azerbaijan,18.0,,,,,,0.562,0.563,0.567,0.573,0.585,0.589,0.599,0.605,0.612,0.616,0.629,0.641,0.661,0.658,0.671,0.677,0.673,0.674,0.674,0.679,0.689,0.689,0.69,0.699,0.702,0.674
Burundi,2.0,0.286,0.288,0.285,0.257,0.286,0.282,0.28,0.284,0.29,0.293,0.293,0.295,0.307,0.315,0.326,0.334,0.355,0.367,0.381,0.39,0.4,0.405,0.411,0.416,0.421,0.423,0.425,0.424,0.424,0.427,0.422
Belgium,-17.0,0.641,0.639,0.652,0.673,0.667,0.671,0.667,0.681,0.661,0.669,0.667,0.674,0.676,0.679,0.669,0.67,0.686,0.686,0.685,0.718,0.716,0.717,0.725,0.726,0.734,0.738,0.741,0.725,0.724,0.731,0.735
Benin,2.0,0.352,0.357,0.362,0.367,0.373,0.378,0.383,0.389,0.395,0.402,0.408,0.419,0.427,0.433,0.44,0.448,0.452,0.46,0.468,0.474,0.479,0.487,0.497,0.507,0.512,0.517,0.518,0.519,0.519,0.519,0.514
